Enrollment_ID,Student_ID,Course_ID,Semester_ID,Grade
E00181,S0417,C073,SEM008,B
E00182,S0655,C043,SEM003,B-
E00183,S0061,C025,SEM007,F
E00184,S0270,C013,SEM008,C
E00185,S0103,C031,SEM002,B+
E00186,S0582,C109,SEM004,D
E00187,S0588,C057,SEM005,B+
E00188,S0972,C058,SEM008,A
E00189,S0828,C083,SEM004,B+
E00190,S0884,C018,SEM001,B
E00191,S0175,C095,SEM004,B
E00192,S0397,C061,SEM004,C-
E00193,S0671,C129,SEM002,A-
E00194,S0906,C006,SEM006,B
E00195,S0802,C045,SEM008,C
E00196,S0360,C077,SEM007,C+
E00197,S0783,C011,SEM004,B
E00198,S0926,C049,SEM002,A-
E00199,S0297,C029,SEM001,B
E00200,S0948,C012,SEM005,B-
E00201,S0743,C011,SEM001,A-
E00202,S0529,C014,SEM005,A
E00203,S0403,C046,SEM006,A
E00204,S0236,C008,SEM005,B
E00205,S0118,C079,SEM001,C
E00206,S0308,C019,SEM007,B
E00207,S0252,C094,SEM006,B
E00208,S0743,C125,SEM002,B
E00209,S0350,C099,SEM006,B+
E00210,S0850,C006,SEM007,B-
E00211,S0622,C055,SEM005,B
E00212,S0264,C061,SEM004,A-
E00213,S0282,C062,SEM001,B-
E00214,S0192,C002,SEM008,A-
E00215,S0187,C007,SEM005,D
E00216,S0227,C013,SEM002,A-
E00217,S0783,C029,SEM007,A-
E00218,S0555,C076,SEM004,B
E00219,S0409,C022,SEM003,A-
E00220,S0933,C114,SEM007,F
E00221,S0677,C104,SEM007,B
E00222,S0269,C004,SEM007,A-
E00223,S0579,C029,SEM001,A-
E00224,S0673,C075,SEM003,F
E00225,S0267,C007,SEM007,B+
E00226,S0643,C033,SEM003,C
E00227,S0536,C090,SEM001,B
E00228,S0772,C007,SEM005,C
E00229,S0677,C096,SEM005,B
E00230,S0080,C059,SEM002,B+
E00231,S0262,C071,SEM003,B-
E00232,S0226,C002,SEM006,B
E00233,S0998,C027,SEM008,A
E00234,S0448,C022,SEM007,D
E00235,S0197,C020,SEM005,B
E00236,S0389,C066,SEM008,C+
E00237,S0983,C128,SEM008,F
E00238,S0836,C021,SEM004,C+
E00239,S0959,C076,SEM004,B+
E00240,S0137,C065,SEM006,A
E00241,S0579,C040,SEM005,A
E00242,S0320,C039,SEM007,C-
E00243,S0804,C068,SEM002,B
E00244,S0908,C003,SEM007,F
E00245,S0334,C011,SEM004,B+
E00246,S0751,C038,SEM006,B
E00247,S0644,C038,SEM002,C
E00248,S0707,C062,SEM008,B
E00249,S0654,C053,SEM003,B
E00250,S0460,C099,SEM008,C+
E00251,S0506,C031,SEM006,B-
E00252,S0555,C032,SEM008,B+
E00253,S0875,C076,SEM008,B
E00254,S0253,C027,SEM003,B-
E00255,S0204,C020,SEM003,B
E00256,S0890,C042,SEM002,F
E00257,S0920,C038,SEM008,A-
E00258,S0226,C023,SEM007,A-
E00259,S0398,C038,SEM006,B-
E00260,S0031,C062,SEM004,B+
E00261,S0113,C009,SEM005,A-
E00262,S0157,C066,SEM008,B
E00263,S0366,C049,SEM008,B
E00264,S0538,C026,SEM007,D
E00265,S0562,C072,SEM008,C+
E00266,S0838,C089,SEM004,A
E00267,S0159,C001,SEM007,A
E00268,S0554,C097,SEM007,A
E00269,S0161,C008,SEM004,B+
E00270,S0540,C036,SEM006,D
E00271,S0458,C017,SEM001,B
E00272,S0701,C118,SEM005,A
E00273,S0591,C004,SEM008,A-
E00274,S0800,C053,SEM002,B-
E00275,S0199,C012,SEM003,B-
E00276,S0126,C044,SEM008,B+
E00277,S0675,C037,SEM004,B
E00278,S0719,C050,SEM007,A-
E00279,S0809,C109,SEM004,C
E00280,S0329,C101,SEM002,B-
E00281,S0866,C004,SEM004,C
E00282,S0905,C094,SEM006,B
E00283,S0685,C116,SEM001,A-
E00284,S0650,C072,SEM003,B-
E00285,S0938,C121,SEM002,B-
E00286,S0762,C032,SEM002,B-
E00287,S0255,C024,SEM005,A-
E00288,S0210,C007,SEM008,A
E00289,S0348,C066,SEM008,B-
E00290,S0332,C075,SEM001,B-
E00291,S0037,C066,SEM002,B
E00292,S0273,C081,SEM002,F
E00293,S0301,C115,SEM002,A-
E00294,S0031,C088,SEM001,C-
E00295,S0728,C030,SEM003,C+
E00296,S0478,C132,SEM001,B-
E00297,S0982,C009,SEM004,A
E00298,S0645,C044,SEM003,C
E00299,S0270,C071,SEM006,B
E00300,S0343,C089,SEM006,C+
E00301,S0676,C008,SEM006,C-
E00302,S0695,C056,SEM007,C+
E00303,S0973,C044,SEM004,B
E00304,S0621,C034,SEM002,C
E00305,S0865,C018,SEM004,C-
E00306,S0482,C055,SEM006,B
E00307,S0789,C019,SEM006,B-
E00308,S0913,C002,SEM001,B
E00309,S0533,C085,SEM001,C
E00310,S0075,C090,SEM005,B-
E00311,S0236,C009,SEM002,C+
E00312,S0868,C103,SEM007,A-
E00313,S0396,C015,SEM003,B
E00314,S0764,C134,SEM005,C+
E00315,S0766,C015,SEM007,B
E00316,S0278,C015,SEM006,B-
E00317,S0527,C067,SEM008,B
E00318,S0781,C091,SEM004,A-
E00319,S0870,C063,SEM001,B
E00320,S0960,C053,SEM001,C-
E00321,S0201,C031,SEM008,B
E00322,S0138,C093,SEM004,C+
E00323,S0759,C073,SEM002,C
E00324,S0591,C013,SEM001,B-
E00325,S0546,C067,SEM006,B
E00326,S0791,C027,SEM006,A-
E00327,S0499,C057,SEM002,D
E00328,S0975,C020,SEM002,B
E00329,S0061,C062,SEM004,C-
E00330,S0775,C047,SEM001,A
E00331,S0812,C100,SEM005,B-
E00332,S0642,C023,SEM001,B+
E00333,S0448,C084,SEM007,A-
E00334,S0328,C072,SEM004,A
E00335,S0664,C036,SEM004,B-
E00336,S0332,C047,SEM001,C-
E00337,S0993,C006,SEM004,A-
E00338,S0676,C008,SEM006,B+
E00339,S0338,C044,SEM001,B
E00340,S0899,C022,SEM002,F
E00341,S0102,C120,SEM003,B+
E00342,S0417,C050,SEM003,C+
E00343,S0736,C039,SEM008,A
E00344,S0101,C004,SEM008,B-
E00345,S0704,C081,SEM001,A-
E00346,S0695,C025,SEM005,B+
E00347,S0204,C029,SEM005,A
E00348,S0827,C009,SEM008,A
E00349,S0848,C124,SEM008,B
E00350,S0519,C027,SEM008,B+
E00351,S0501,C027,SEM006,C
E00352,S0032,C084,SEM004,C
E00353,S0718,C007,SEM004,B-
E00354,S0598,C025,SEM006,B-
E00355,S0990,C021,SEM001,B
E00356,S0463,C047,SEM008,C-
E00357,S0385,C073,SEM008,C
E00358,S0207,C066,SEM005,B-
E00359,S0799,C029,SEM005,B-
E00360,S0295,C055,SEM001,B-
E00361,S0227,C068,SEM008,B+
E00362,S0180,C075,SEM008,B+
E00363,S0185,C023,SEM006,F
E00364,S0500,C014,SEM002,D
E00365,S0121,C055,SEM007,D
E00366,S0115,C049,SEM004,B+
E00367,S0009,C078,SEM007,C
E00368,S0170,C021,SEM006,B
E00369,S0609,C036,SEM006,B+
E00370,S0907,C042,SEM003,C+
E00371,S0541,C037,SEM001,C-
E00372,S0428,C086,SEM006,C
E00373,S0354,C017,SEM004,C+
E00374,S0026,C090,SEM001,B-
E00375,S0103,C093,SEM004,C-
E00376,S0986,C074,SEM008,B
E00377,S0064,C102,SEM002,A
E00378,S0919,C134,SEM001,A
E00379,S0549,C025,SEM005,B
E00380,S0645,C092,SEM003,C+
E00381,S0748,C082,SEM007,A-
E00382,S0044,C119,SEM008,B-
E00383,S0567,C077,SEM008,C+
E00384,S0619,C026,SEM004,C
E00385,S0581,C026,SEM008,B-
E00386,S0898,C005,SEM005,B
E00387,S0014,C043,SEM006,A-
E00388,S0734,C080,SEM008,A
E00389,S0638,C047,SEM006,B-
E00390,S0795,C081,SEM004,B
E00391,S0420,C013,SEM006,C+
E00392,S0188,C040,SEM005,A-
E00393,S0916,C064,SEM005,A-
E00394,S0399,C004,SEM005,C
E00395,S0735,C074,SEM003,B
E00396,S0812,C122,SEM008,C
E00397,S0856,C149,SEM004,B
E00398,S0040,C087,SEM005,B+
E00399,S0114,C078,SEM005,B+
E00400,S0149,C008,SEM005,B
E00401,S0370,C016,SEM006,C-
E00402,S0189,C089,SEM005,C
E00403,S0332,C053,SEM004,C
E00404,S0101,C052,SEM005,C-
E00405,S0337,C110,SEM008,B
E00406,S0570,C039,SEM002,B
E00407,S0510,C001,SEM008,B-
E00408,S0307,C063,SEM008,B
E00409,S0946,C091,SEM007,F
E00410,S0417,C007,SEM004,C
E00411,S0219,C055,SEM002,B+
E00412,S0425,C001,SEM007,C-
E00413,S0655,C068,SEM006,B-
E00414,S0974,C104,SEM004,B+
E00415,S0459,C022,SEM005,B-
E00416,S0974,C028,SEM001,C+
E00417,S0239,C078,SEM005,A-
E00418,S0047,C061,SEM008,C
E00419,S0812,C063,SEM004,B
E00420,S0135,C131,SEM005,B
E00421,S0837,C026,SEM002,B+
E00422,S0635,C028,SEM003,B
E00423,S0124,C090,SEM001,B+
E00424,S0861,C102,SEM001,B+
E00425,S0835,C027,SEM006,B+
E00426,S0807,C026,SEM002,B+
E00427,S0430,C001,SEM007,A
E00428,S0025,C035,SEM004,C+
E00429,S0305,C080,SEM003,B
E00430,S0761,C030,SEM004,A
E00431,S0366,C077,SEM007,C-
E00432,S0710,C019,SEM003,C
E00433,S0051,C045,SEM007,A
E00434,S0186,C072,SEM005,C+
E00435,S0068,C017,SEM003,B
E00436,S0096,C004,SEM006,A-
E00437,S0725,C024,SEM003,B-
E00438,S0516,C024,SEM008,B
E00439,S0461,C024,SEM008,B-
E00440,S0410,C056,SEM003,B-
E00441,S0974,C018,SEM008,B-
E00442,S0557,C139,SEM008,B-
E00443,S0058,C080,SEM002,A-
E00444,S0733,C095,SEM007,B
E00445,S0408,C071,SEM004,C+
E00446,S0790,C084,SEM002,C
E00447,S0861,C043,SEM008,A-
E00448,S0866,C011,SEM003,B+
E00449,S0697,C016,SEM008,C+
E00450,S0930,C061,SEM004,B-
E00451,S0062,C041,SEM007,C
E00452,S0665,C042,SEM006,C
E00453,S0658,C004,SEM006,C+
E00454,S0115,C027,SEM005,A-
E00455,S0024,C049,SEM004,B-
E00456,S0339,C014,SEM002,B-
E00457,S0416,C043,SEM007,B+
E00458,S0655,C148,SEM004,B-
E00459,S0897,C017,SEM005,B-
E00460,S0211,C018,SEM002,A-
E00461,S0812,C038,SEM003,F
E00462,S0758,C036,SEM008,C-
E00463,S0264,C062,SEM001,B
E00464,S0622,C144,SEM003,D
E00465,S0091,C023,SEM008,A
E00466,S0939,C023,SEM004,B
E00467,S0069,C069,SEM004,A
E00468,S0900,C107,SEM002,B-
E00469,S0126,C057,SEM008,C
E00470,S0696,C082,SEM008,B+
E00471,S0315,C006,SEM004,B+
E00472,S0880,C084,SEM008,B
E00473,S0018,C026,SEM006,A
E00474,S0941,C123,SEM006,D
E00475,S0932,C023,SEM008,B
E00476,S0667,C039,SEM007,A-
E00477,S0478,C096,SEM003,B-
E00478,S0738,C061,SEM004,B
E00479,S0290,C029,SEM006,B
E00480,S0764,C027,SEM002,F
E00481,S0817,C082,SEM002,B-
E00482,S0465,C043,SEM008,C-
E00483,S0699,C125,SEM003,C+
E00484,S0990,C051,SEM003,C
E00485,S0907,C068,SEM001,B-
E00486,S0904,C001,SEM008,A
E00487,S0861,C140,SEM007,B+
E00488,S0712,C040,SEM004,B+
E00489,S0629,C054,SEM002,B-
E00490,S0908,C125,SEM002,C
E00491,S0752,C027,SEM001,C+
E00492,S0550,C127,SEM008,B
E00493,S0392,C001,SEM007,B+
E00494,S0569,C076,SEM002,C+
E00495,S0093,C011,SEM001,B
E00496,S0047,C094,SEM003,B+
E00497,S0536,C006,SEM006,B
E00498,S0885,C102,SEM002,B-
E00499,S0826,C085,SEM005,A-
E00500,S0936,C004,SEM004,B
E00501,S0880,C066,SEM001,B
E00502,S0004,C030,SEM006,B
E00503,S0633,C009,SEM006,F
E00504,S0673,C014,SEM005,C
E00505,S0756,C045,SEM006,C
E00506,S0866,C098,SEM002,B+
E00507,S0371,C096,SEM003,B+
E00508,S0414,C068,SEM007,B-
E00509,S0315,C010,SEM008,B+
E00510,S0901,C007,SEM005,C+
E00511,S0057,C065,SEM003,C
E00512,S0892,C030,SEM006,B
E00513,S0306,C023,SEM004,B
E00514,S0787,C030,SEM004,A-
E00515,S0705,C018,SEM001,B+
E00516,S0484,C025,SEM006,B-
E00517,S0017,C020,SEM005,C-
E00518,S0336,C009,SEM004,C+
E00519,S0409,C037,SEM003,A-
E00520,S0832,C004,SEM003,C+
E00521,S0612,C053,SEM001,C-
E00522,S0195,C076,SEM003,A
E00523,S0633,C046,SEM001,B
E00524,S0017,C048,SEM008,C
E00525,S0635,C074,SEM003,B-
E00526,S0153,C052,SEM005,B-
E00527,S0940,C031,SEM007,B-
E00528,S0835,C022,SEM004,A
E00529,S0519,C044,SEM001,A-
E00530,S0926,C016,SEM005,A-
E00531,S0934,C024,SEM003,A
E00532,S0731,C009,SEM001,C+
E00533,S0584,C023,SEM006,B-
E00534,S0188,C010,SEM001,C
E00535,S0235,C088,SEM006,B-
E00536,S0012,C085,SEM002,B+
E00537,S0974,C008,SEM001,B
E00538,S0637,C063,SEM004,B+
E00539,S0961,C078,SEM007,B+
E00540,S0969,C120,SEM007,B+
E00541,S0845,C107,SEM007,B+
E00542,S1000,C056,SEM003,B-
E00543,S0818,C004,SEM002,B+
E00544,S0862,C130,SEM002,B
E00545,S0423,C076,SEM004,C-
E00546,S0775,C099,SEM001,C
E00547,S0007,C040,SEM002,B-
E00548,S0663,C112,SEM007,B-
E00549,S0510,C022,SEM005,B
E00550,S0017,C066,SEM007,A
E00551,S0871,C034,SEM001,B
E00552,S0860,C018,SEM004,B
E00553,S1000,C008,SEM004,A
E00554,S0746,C039,SEM003,B+
E00555,S0453,C048,SEM002,F
E00556,S0958,C058,SEM007,B+
E00557,S0089,C078,SEM004,C+
E00558,S0073,C044,SEM003,F
E00559,S0754,C084,SEM003,B
E00560,S0819,C034,SEM001,B+
E00561,S0963,C064,SEM001,A-
E00562,S0716,C022,SEM003,C
E00563,S0947,C043,SEM003,A
E00564,S0432,C095,SEM004,B+
E00565,S0366,C038,SEM007,B+
E00566,S0707,C083,SEM008,B
E00567,S0605,C024,SEM003,F
E00568,S0522,C010,SEM003,C
E00569,S0091,C070,SEM002,B
E00570,S0994,C051,SEM002,B
E00571,S0665,C010,SEM008,B-
E00572,S0105,C072,SEM007,B
E00573,S0739,C095,SEM006,A
E00574,S0748,C126,SEM005,C
E00575,S0899,C073,SEM001,B-
E00576,S0997,C008,SEM007,B
E00577,S0009,C016,SEM008,B-
E00578,S0387,C053,SEM005,A-
E00579,S0720,C045,SEM006,B
E00580,S0389,C117,SEM005,A
E00581,S0283,C056,SEM002,B+
E00582,S0018,C104,SEM004,B+
E00583,S0843,C090,SEM007,B
E00584,S0515,C038,SEM007,C+
E00585,S0693,C098,SEM001,B-
E00586,S0291,C071,SEM001,B
E00587,S0954,C090,SEM008,C-
E00588,S0086,C092,SEM005,A-
E00589,S0952,C079,SEM008,B
E00590,S0047,C031,SEM007,D
E00591,S0747,C053,SEM006,B+
E00592,S0580,C009,SEM007,A-
E00593,S0632,C088,SEM001,B+
E00594,S0479,C107,SEM001,B
E00595,S0103,C016,SEM002,B-
E00596,S0948,C039,SEM008,B
E00597,S0225,C038,SEM003,D
E00598,S0563,C008,SEM007,C
E00599,S0126,C034,SEM007,B-
E00600,S0836,C023,SEM001,C
E00601,S0250,C081,SEM005,B
E00602,S0619,C023,SEM006,B+
E00603,S0573,C136,SEM005,B+
E00604,S0820,C082,SEM007,B
E00605,S0564,C040,SEM006,C-
E00606,S0637,C002,SEM004,B+
E00607,S0092,C031,SEM003,B
E00608,S0935,C044,SEM007,A-
E00609,S0936,C006,SEM002,B
E00610,S0621,C016,SEM001,B
E00611,S0532,C071,SEM001,B
E00612,S0125,C135,SEM005,A-
E00613,S0004,C096,SEM001,B
E00614,S0214,C037,SEM002,C-
E00615,S0645,C013,SEM006,C+
E00616,S0179,C031,SEM007,B
E00617,S0095,C140,SEM001,B
E00618,S0398,C075,SEM007,F
E00619,S0082,C002,SEM008,C-
E00620,S0676,C014,SEM008,C-
E00621,S0668,C024,SEM008,B
E00622,S0906,C093,SEM004,C+
E00623,S0894,C010,SEM001,C+
E00624,S0406,C004,SEM001,C+
E00625,S0694,C030,SEM006,C-
E00626,S0539,C004,SEM001,C+
E00627,S0889,C002,SEM006,A
E00628,S0273,C106,SEM003,D
E00629,S0685,C007,SEM005,F
E00630,S0783,C150,SEM002,C
E00631,S0623,C036,SEM002,B
E00632,S0188,C055,SEM003,B+
E00633,S0787,C032,SEM006,B-
E00634,S0448,C009,SEM005,B
E00635,S0629,C043,SEM005,B
E00636,S0358,C093,SEM005,C
E00637,S0025,C112,SEM006,B
E00638,S0506,C040,SEM002,A-
E00639,S0780,C039,SEM008,B
E00640,S0438,C045,SEM002,B+
E00641,S0444,C038,SEM004,A
E00642,S0022,C099,SEM006,B
E00643,S0189,C007,SEM008,C+
E00644,S0340,C010,SEM005,B-
E00645,S0048,C070,SEM001,B-
E00646,S0647,C149,SEM004,B-
E00647,S0914,C024,SEM003,B
E00648,S0515,C122,SEM001,B+
E00649,S0685,C029,SEM006,B+
E00650,S0879,C026,SEM003,A-
E00651,S0952,C075,SEM008,B+
E00652,S0498,C025,SEM003,D
E00653,S0043,C035,SEM002,B+
E00654,S0729,C006,SEM007,C
E00655,S0141,C100,SEM008,A
E00656,S0989,C024,SEM006,B
E00657,S0274,C029,SEM003,A-
E00658,S0043,C079,SEM005,A-
E00659,S0483,C092,SEM006,B
E00660,S0897,C054,SEM001,B
E00661,S0008,C069,SEM005,C
E00662,S0048,C074,SEM004,C+
E00663,S0934,C128,SEM004,D
E00664,S0390,C050,SEM004,B
E00665,S0544,C050,SEM004,B
E00666,S0070,C081,SEM008,A
E00667,S0983,C021,SEM002,A-
E00668,S0170,C006,SEM004,B
E00669,S0396,C019,SEM008,C+
E00670,S0645,C064,SEM007,C+
E00671,S0689,C051,SEM008,D
E00672,S0629,C016,SEM005,A-
E00673,S0540,C040,SEM002,B
E00674,S0192,C060,SEM005,A-
E00675,S0237,C112,SEM003,A-
E00676,S0040,C034,SEM006,D
E00677,S0099,C026,SEM005,B
E00678,S0994,C053,SEM005,A-
E00679,S0666,C080,SEM007,B
E00680,S0157,C038,SEM003,C+
E00681,S0059,C040,SEM001,C
E00682,S0429,C092,SEM005,B
E00683,S0903,C035,SEM007,A
E00684,S0981,C022,SEM001,A-
E00685,S0310,C021,SEM001,D
E00686,S0795,C007,SEM006,A-
E00687,S0261,C005,SEM001,C+
E00688,S0847,C002,SEM002,A-
E00689,S0717,C090,SEM003,C+
E00690,S0620,C110,SEM001,B-
E00691,S0701,C091,SEM002,A
E00692,S0079,C080,SEM006,B+
E00693,S0153,C123,SEM006,B+
E00694,S0090,C081,SEM008,F
E00695,S0728,C061,SEM002,B-
E00696,S0107,C048,SEM007,B-
E00697,S0366,C086,SEM004,B+
E00698,S0248,C054,SEM006,A-
E00699,S0650,C013,SEM004,B-
E00700,S0039,C101,SEM008,C+
E00701,S0423,C053,SEM006,A
E00702,S0681,C031,SEM001,B-
E00703,S0147,C076,SEM008,B+
E00704,S0714,C024,SEM006,B
E00705,S0261,C034,SEM004,B
E00706,S0773,C025,SEM002,B
E00707,S0089,C057,SEM002,B
E00708,S0212,C035,SEM005,B-
E00709,S0463,C101,SEM002,B
E00710,S0197,C034,SEM001,B+
E00711,S0282,C133,SEM001,B
E00712,S0519,C024,SEM005,B
E00713,S0947,C045,SEM002,B
E00714,S0214,C020,SEM001,A-
E00715,S0958,C002,SEM006,C+
E00716,S0281,C009,SEM006,B
E00717,S0178,C074,SEM008,A
E00718,S0989,C036,SEM004,B
E00719,S0696,C100,SEM003,B-
E00720,S0046,C030,SEM002,A-
E00721,S0008,C036,SEM007,A
E00722,S0395,C056,SEM001,D
E00723,S0625,C045,SEM006,A-
E00724,S0623,C079,SEM002,B
E00725,S0587,C047,SEM002,B-
E00726,S0269,C075,SEM005,B
E00727,S0016,C005,SEM007,B+
E00728,S0487,C026,SEM007,A-
E00729,S0037,C018,SEM003,B
E00730,S0077,C048,SEM006,B+
E00731,S0636,C141,SEM006,A-
E00732,S0951,C097,SEM002,A-
E00733,S0574,C031,SEM006,B+
E00734,S0493,C093,SEM006,A
E00735,S0476,C115,SEM001,B-
E00736,S0026,C063,SEM007,A-
E00737,S0500,C022,SEM006,C
E00738,S0509,C011,SEM003,C+
E00739,S0846,C064,SEM003,C+
E00740,S0505,C120,SEM008,B+
E00741,S0793,C037,SEM008,B+
E00742,S0744,C016,SEM006,B+
E00743,S0856,C034,SEM001,C+
E00744,S0791,C003,SEM008,B
E00745,S0955,C017,SEM007,F
E00746,S0088,C072,SEM002,B-
E00747,S0114,C037,SEM008,C+
E00748,S0033,C114,SEM003,D
E00749,S0986,C048,SEM006,B
E00750,S0732,C099,SEM002,B
E00751,S0287,C078,SEM007,C
